Stage,Utility,Root,Level,Title,Company_Name,Date,Submitter,Docket_No,Page_Type,PDF_Link,Page_URL,Breadcrumb
6,oil_export,Exports & Imports > Oil,1,Long-Term,Long-Term,,,,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/552913,Exports & Imports > Oil > Long-Term
6,oil_export,Exports & Imports > Oil,1,Short-Term,Short-Term,,,,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/552728,Exports & Imports > Oil > Short-Term
6,oil_export,Exports & Imports > Oil,2,10730211 CANADA LTD.,10730211 CANADA LTD.,,,,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3715954,Exports & Imports > Oil > Short-Term > 10730211 CANADA LTD.
6,oil_export,Exports & Imports > Oil,3,A96378 National Energy Board - Order ROE-132-2019 to 10730211 Canada Ltd. Authorizing the Export of Petroleum,A96378 National Energy Board - Order ROE-132-2019 to 10730211 Canada Ltd. Authorizing the Export of Petroleum,,,A96378,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3718469,Exports & Imports > Oil > Short-Term > 10730211 CANADA LTD. > A96378 National Energy Board - Order ROE-132-2019 to 10730211 Canada Ltd. Authorizing the Export of Petroleum
6,oil_export,Exports & Imports > Oil,4,A96378-1 NEB – Order ROE-132-2019 to 10730211 Canada Ltd. - Export of Petroleum - A6L4Q0,A96378-1 NEB – Order ROE-132-2019 to 10730211 Canada Ltd. - Export of Petroleum - A6L4Q0,,,A96378-1,PDF,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3718470,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3718470,Exports & Imports > Oil > Short-Term > 10730211 CANADA LTD. > A96378 National Energy Board - Order ROE-132-2019 to 10730211 Canada Ltd. Authorizing the Export of Petroleum > A96378-1 NEB – Order ROE-132-2019 to 10730211 Canada Ltd. - Export of Petroleum - A6L4Q0
6,oil_export,Exports & Imports > Oil,4,,,,,,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3718469,Exports & Imports > Oil > Short-Term > 10730211 CANADA LTD. > A96378 National Energy Board - Order ROE-132-2019 to 10730211 Canada Ltd. Authorizing the Export of Petroleum > 
6,oil_export,Exports & Imports > Oil,4,,,,,,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3715954,Exports & Imports > Oil > Short-Term > 10730211 CANADA LTD. > A96378 National Energy Board - Order ROE-132-2019 to 10730211 Canada Ltd. Authorizing the Export of Petroleum > 
6,oil_export,Exports & Imports > Oil,4,A96378-2 ONÉ – Ordonnance ROE-132-2019 à 10730211 Canada Ltd. – l’exportation de pétrole - A6L4L9,A96378-2 ONÉ – Ordonnance ROE-132-2019 à 10730211 Canada Ltd. – l’exportation de pétrole - A6L4L9,,,A96378-2,PDF,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3718471,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3718471,Exports & Imports > Oil > Short-Term > 10730211 CANADA LTD. > A96378 National Energy Board - Order ROE-132-2019 to 10730211 Canada Ltd. Authorizing the Export of Petroleum > A96378-2 ONÉ – Ordonnance ROE-132-2019 à 10730211 Canada Ltd. – l’exportation de pétrole - A6L4L9
6,oil_export,Exports & Imports > Oil,4,Receipt - Accusé de réception - A6L4Q1,Receipt - Accusé de réception - A6L4Q1,,,,PDF,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3718472,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3718472,Exports & Imports > Oil > Short-Term > 10730211 CANADA LTD. > A96378 National Energy Board - Order ROE-132-2019 to 10730211 Canada Ltd. Authorizing the Export of Petroleum > Receipt - Accusé de réception - A6L4Q1
6,oil_export,Exports & Imports > Oil,3,,,,,,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3715954,Exports & Imports > Oil > Short-Term > 10730211 CANADA LTD. > 
6,oil_export,Exports & Imports > Oil,3,A96000 National Energy Board - Order ROE-182-2018 to 10730211 Canada Ltd. authorizing the exportation of light and heavy crude oil,A96000 National Energy Board - Order ROE-182-2018 to 10730211 Canada Ltd. authorizing the exportation of light and heavy crude oil,,,A96000,FOLDER,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3705812,Exports & Imports > Oil > Short-Term > 10730211 CANADA LTD. > A96000 National Energy Board - Order ROE-182-2018 to 10730211 Canada Ltd. authorizing the exportation of light and heavy crude oil
